metier,identifiant,competences,savoir-etre
Data scientist,147GPTS,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Réaliser une veille documentaire (collecte, analyse etc.)",Persévérance. Autonomie. Rigueur
Data scientist,147FQBZ,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une veille documentaire (collecte, analyse etc.). Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Persévérance. Sens de l'organisation. Rigueur
Data scientist,147FPTR,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une veille documentaire (collecte, analyse etc.). Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Persévérance. Gestion du stress. Rigueur
Data scientist,147FGXM,"Analyser des données massives - Big data. Big data analytics. Langages de programmation informatique. Modélisation statistique. Adapter les outils de traitement statistique de données. Algorithmique. Analyse statistique. Définir les méthodes et les outils de traitement de l'information. Logiciels de gestion de base de données. Logiciels de modélisation et simulation. Logiciels de statistiques. Présenter et diffuser les résultats des études réalisées. Réaliser des études spécifiques. Réaliser une veille documentaire (collecte, analyse etc.). Réaliser une étude. Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",
Data scientist,147BPDT,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une veille documentaire (collecte, analyse etc.). Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",
Data scientist,146ZRNX,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une veille documentaire (collecte, analyse etc.). Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",
Data scientist,146YGRJ,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une veille documentaire (collecte, analyse etc.). Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Sens de la communication. Sens de l'organisation. Rigueur
Data scientist,146VMVY,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une veille documentaire (collecte, analyse etc.). Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Capacité d'adaptation. Travail en équipe. Autonomie
Data scientist,146RKVK,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une veille documentaire (collecte, analyse etc.). Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Travail en équipe. Sens de la communication. Rigueur
Data scientist,146QHMH,,
Data scientist,146KLZG,"Adapter les outils de traitement statistique de données. Algorithmique. Analyser des données massives - Big data. Big data analytics. Définir les méthodes et les outils de traitement de l'information. Langages de programmation informatique. Logiciels de gestion de base de données. Logiciels de modélisation et simulation. Logiciels de statistiques. Mettre en place des outils d'aide à la décision. Modélisation statistique. Présenter et diffuser les résultats des études réalisées. Réaliser une veille documentaire (collecte, analyse etc.). Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",
Data scientist,146HSTQ,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une veille documentaire (collecte, analyse etc.). Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",
Data scientist,146GQKJ,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une veille documentaire (collecte, analyse etc.). Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",Sens de la communication. Sens de l'organisation. Rigueur
Data scientist,146BHNJ,,
Data scientist,145YTGN,"Adapter les outils de traitement statistique de données. Définir les méthodes et les outils de traitement de l'information. Présenter et diffuser les résultats des études réalisées. Réaliser une veille documentaire (collecte, analyse etc.). Rédiger l'information produite (études, synthèses, rapports, bulletins, ...) et établir des prévisions, des évaluations, des recommandations, des perspectives, ...",
